0.064,-0.108,1.212
0.068,-0.112,1.204
0.064,-0.112,1.204
0.064,-0.084,1.204
0.068,-0.128,1.188
0.064,-0.108,1.204
-1.24,0.636,0.376
0.176,-0.296,1.288
-0.016,-0.208,1.024
0.412,-0.476,1.928
-0.448,1.18,2.044
0.076,0.076,1.492
0.076,0.004,1.352
0.004,-0.028,1.192
0.024,-0.024,1.212
0.024,0.032,1.336
-0.092,0.564,1.052
0.316,-0.628,1.428
-0.168,0.02,0.752
0.052,-1.58,1.096
-0.06,-0.076,0.844
0.028,0.068,1.328
0.204,-0.04,1.796
0.212,-1.032,1.38
0.168,-0.464,1.14
0.028,0.304,1.632
-0.388,0.1,0.612
-1.148,-0.84,0.688
0.264,-0.26,1.44
0.152,-0.08,1.384
-0.28,0.632,1.356
-0.284,0.764,1.308
-0.072,0.268,1.288
-0.004,0.108,1.456
-0.34,0.6,0.736
0.016,0.024,1.272
0.056,-0.016,1.136
0.02,0.24,1.2
0.092,-0.072,1.22
0.072,-0.104,1.204
